transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00635,2026-01-09T02:29:02Z,83.78,online_retail,IN,True,False
txn_0000001,card_00121,2026-01-23T04:26:24Z,438.51,travel,SG,False,False
txn_0000002,card_00254,2026-01-18T04:07:43Z,23.28,utilities,AE,True,False
txn_0000003,card_00075,2026-01-06T04:37:44Z,48.0,fuel,GB,False,False
txn_0000004,card_00537,2026-01-15T15:42:52Z,537.13,restaurant,DE,True,True
txn_0000005,card_00688,2026-01-08T01:07:52Z,255.72,atm_withdrawal,SG,True,False
txn_0000006,card_00138,2026-01-14T21:32:33Z,91.32,fuel,IN,True,False
txn_0000007,card_00253,2026-01-17T04:29:51Z,23.32,restaurant,IN,True,False
txn_0000008,card_00769,2026-01-08T18:16:58Z,38.3,online_retail,US,False,False
txn_0000009,card_00162,2026-01-24T19:36:26Z,19.15,fuel,IN,True,False
txn_0000010,card_00234,2026-01-23T23:20:38Z,63.48,entertainment,US,False,False
txn_0000011,card_00130,2026-01-06T03:24:17Z,220.89,online_retail,AE,False,False
txn_0000012,card_00711,2026-01-21T04:34:36Z,84.33,restaurant,DE,True,False
txn_0000013,card_00151,2026-01-05T04:53:05Z,24.98,fuel,US,False,False
txn_0000014,card_00248,2026-01-09T22:03:42Z,26.51,fuel,GB,True,False
txn_0000015,card_00530,2026-01-21T18:59:17Z,252.41,grocery,GB,True,False
txn_0000016,card_00487,2026-01-08T19:11:20Z,110.41,utilities,AE,True,False
txn_0000017,card_00853,2026-01-08T01:12:41Z,51.85,online_retail,AE,True,False
txn_0000018,card_00396,2026-01-19T07:10:25Z,30.39,restaurant,US,True,False
txn_0000019,card_00225,2026-01-14T23:41:07Z,297.95,atm_withdrawal,IN,False,False
txn_0000020,card_00839,2026-01-13T10:07:41Z,10.87,utilities,GB,False,False
txn_0000021,card_00120,2026-01-19T09:37:52Z,100.68,travel,DE,False,False
txn_0000022,card_00250,2026-01-28T11:01:27Z,37.27,online_retail,DE,True,False
txn_0000023,card_00629,2026-01-14T05:40:07Z,96.5,travel,IN,False,False
txn_0000024,card_00014,2026-01-30T08:59:26Z,82.57,online_retail,AE,False,False
txn_0000025,card_00483,2026-01-15T11:03:13Z,19.97,electronics,AE,True,False
txn_0000026,card_00624,2026-01-23T06:09:11Z,329.76,pharmacy,SG,False,False
txn_0000027,card_00518,2026-01-12T14:52:58Z,22.49,atm_withdrawal,SG,False,False
txn_0000028,card_00601,2026-01-15T00:39:49Z,16.56,travel,SG,True,False
txn_0000029,card_00816,2026-01-03T01:08:31Z,212.33,pharmacy,SG,True,False
txn_0000030,card_00473,2026-01-17T04:28:22Z,146.42,utilities,US,False,False
txn_0000031,card_00585,2026-01-03T18:15:01Z,20.0,fuel,SG,True,False
txn_0000032,card_00008,2026-01-26T06:50:58Z,50.52,utilities,DE,True,False
txn_0000033,card_00479,2026-01-23T04:10:18Z,74.97,online_retail,IN,True,False
txn_0000034,card_00596,2026-01-25T23:59:01Z,54.9,fuel,DE,False,False
txn_0000035,card_00333,2026-01-14T10:04:10Z,161.76,utilities,AE,False,False
txn_0000036,card_00237,2026-01-14T02:46:52Z,64.84,fuel,IN,False,False
